pattern,direction,pattern_signal_direction,entry_time,exit_time,entry_idx,entry_price,stop_loss,take_profit,risk_reward_ratio,exit_reason,feature_rsi,feature_ema_20,feature_ema_50,feature_ema_200,feature_atr,feature_atr_percentile,feature_volume_ratio,feature_body,feature_upper_wick,feature_lower_wick,label_win,pnl_dollars
falling_wedge,long,bullish,2025-12-24 04:45:00,2025-12-24 09:45:00,845,4499.299,4464.39673987293,4569.10352025414,2.0,timeout,50.9675018797894,4498.830904159041,4493.67745893101,4454.1912197615065,8.89052025413929,0.6676737160120846,0.41037865952165176,0.9610000000002401,1.1390000000001237,2.5609999999996944,0,-14.486299999999302
falling_wedge,long,bullish,2025-12-26 04:15:00,2025-12-26 09:15:00,921,4509.544,4483.284977566889,4562.062044866221,2.0,timeout,58.553743648936184,4502.511079230768,4495.587241379954,4473.958575221766,9.27204486622218,0.7215508559919436,0.4311149004463614,1.764999999999418,0.6520000000000437,3.1140000000004875,1,32.974200000002384
falling_wedge,long,bullish,2025-12-26 18:45:00,2025-12-29 00:15:00,979,4530.876,4505.069046902519,4582.489906194962,2.0,stop_loss,55.40119506391169,4525.73807537121,4520.137577527315,4494.155409415736,9.541906194962138,0.7593152064451159,0.5927782357790602,1.2979999999997744,1.7339999999994689,2.074000000000524,0,-110.96989831916744
falling_wedge,long,bullish,2026-01-05 14:30:00,2026-01-05 19:30:00,1422,4429.572,4391.145039649943,4506.425920700114,2.0,timeout,57.983388584247,4419.62788603852,4411.899985306642,4382.531160613731,9.499920700115206,0.7537764350453172,2.670977323770195,8.609000000000378,0.5789999999997235,3.1309999999994034,1,36.74439999999886
falling_wedge,long,bullish,2026-01-06 11:45:00,2026-01-06 16:45:00,1503,4463.377,4439.089232305347,4511.952535389308,2.0,timeout,56.40051619371759,4457.5159916306575,4454.900922504807,4421.908157523863,6.951535389305756,0.3554884189325277,0.7180183637920345,1.1660000000001673,1.231999999999971,2.44800000000032,1,111.88349999999718
falling_wedge,long,bullish,2026-01-07 03:30:00,2026-01-07 05:30:00,1562,4478.282,4455.749400037687,4523.347199924626,2.0,stop_loss,47.236064225671626,4479.68197453914,4479.44327151307,4448.517238423337,7.411199924624321,0.4415911379657603,0.5728947680498506,1.8659999999999854,0.5990000000001601,0.8829999999998108,0,-110.40973981533278
falling_wedge,long,bullish,2026-01-09 06:00:00,2026-01-09 11:00:00,1756,4467.184,4449.926875334906,4501.698249330188,2.0,timeout,53.52419181128814,4465.783953817545,4461.963285957,4452.276746916023,5.7842493301890965,0.14954682779456194,1.1340399994215558,1.0419999999994616,2.780999999999949,1.1450000000004366,1,31.033799999996702
falling_wedge,long,bullish,2026-01-09 11:45:00,2026-01-09 12:30:00,1779,4475.43,4461.447463737031,4503.395072525938,2.0,stop_loss,58.75682658890834,4471.18304942881,4467.875505215975,4456.295976426867,5.047072525936327,0.04984894259818731,1.0366684694429422,4.788000000000466,0.7820000000001528,2.0270000000000437,0,-109.06378285115824
falling_wedge,long,bullish,2026-01-09 20:00:00,2026-01-12 00:15:00,1812,4506.853,4477.6301117600715,4565.298776479857,2.0,take_profit,59.48210852164564,4497.435133398569,4488.586402580804,4466.9168523592825,8.74177647985829,0.6445115810674723,0.5951680003088773,7.5590000000001965,0.318000000000211,1.5419999999994616,1,216.2493729754715
falling_wedge,long,bullish,2026-01-13 13:45:00,2026-01-13 18:45:00,1971,4611.531,4573.595994503502,4687.401010992996,2.0,timeout,64.93111803426137,4594.431215859762,4592.061370299831,4565.079765083638,8.502010992995483,0.6102719033232629,2.318407547274211,6.217999999999847,3.3029999999998836,4.231999999999971,0,-50.26569999999892
