entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,position_size,pnl_dollars,pnl_pct,exit_reason,capital_after,entry_idx,pattern_signal_direction,feature_rsi,feature_ema_20,feature_ema_50,feature_ema_200,feature_atr,feature_atr_percentile,feature_volume_ratio,feature_body,feature_upper_wick,feature_lower_wick,risk_reward_ratio
2025-12-26 04:00:00,2025-12-26 09:00:00,long,4507.686,4515.978,4479.690091225881,4563.677817548238,0.36,29.851200000001334,0.2985120000000134,timeout,10070.793950735628,920,bullish,57.20039131911573,4501.7707717813755,4495.017577762809,4473.600932761683,9.559817548239275,0.7623363544813696,0.6491278522059043,5.9539999999997235,2.167000000000371,1.1589999999996508,2.0
2025-12-30 07:30:00,2025-12-30 12:30:00,long,4377.0,4399.744,4344.603520223696,4441.7929595526075,0.31,70.50639999999903,0.7050639999999904,timeout,10141.300350735626,1118,bullish,62.34865353063689,4365.374539561877,4365.034079136129,4422.594143894948,8.566959552607338,0.6193353474320241,0.9461453113378933,8.703999999999724,0.12600000000020373,0.1540000000004511,2.0
2026-01-05 14:30:00,2026-01-05 19:30:00,long,4429.572,4442.695,4391.145039649943,4506.425920700114,0.26,34.11979999999894,0.3411979999999894,timeout,10175.420150735625,1422,bullish,57.983388584247,4419.62788603852,4411.899985306642,4382.531160613731,9.499920700115206,0.7537764350453172,2.670977323770195,8.609000000000378,0.5789999999997235,3.1309999999994034,2.0
2026-01-06 01:00:00,2026-01-06 05:30:00,long,4441.709,4472.117974052318,4426.504512973841,4472.117974052318,0.67,203.74012615052874,2.037401261505287,take_profit,10379.160276886154,1460,bullish,50.302593214883224,4442.05942559926,4436.411319906636,4401.822257930089,7.736974052317254,0.5095669687814703,3.050896611726038,5.412000000000262,0.443000000000211,8.621999999999389,2.0
2026-01-06 10:30:00,2026-01-06 14:30:00,long,4451.082,4475.736068399401,4438.7549658003,4475.736068399401,0.84,207.0941745549666,2.070941745549666,take_profit,10586.25445144112,1498,bullish,43.24352178367981,4457.580083454159,4454.436651335631,4420.119804270326,7.6200683993987255,0.48942598187311176,0.763181035657225,0.9810000000006767,4.958999999999833,1.6199999999998909,2.0
2026-01-06 20:00:00,2026-01-07 02:00:00,long,4485.41,4472.385,4459.21527438221,4537.79945123558,0.4,-52.09999999999855,-0.5209999999999856,timeout,10534.154451441122,1536,bullish,56.73065520897873,4482.188581049633,4473.862075826935,4437.911094402584,7.369451235579362,0.43454179254783487,0.5864072967955444,4.032000000000153,1.4970000000002983,1.0819999999994252,2.0
2026-01-07 23:45:00,2026-01-08 01:45:00,long,4463.418,4442.284839095736,4442.284839095736,4505.684321808527,0.5,-105.66580452131802,-1.0566580452131802,stop_loss,10428.488646919803,1639,bullish,60.65271131508008,4456.545929538622,4456.010128125571,4452.066369220768,6.154321808527745,0.21198388721047332,0.5672689903228569,1.6929999999993015,0.3400000000001455,1.7970000000004802,2.0
2026-01-09 01:30:00,2026-01-09 06:30:00,long,4462.607,4474.997,4444.062381721378,4499.6962365572435,0.56,69.38400000000185,0.6938400000000184,timeout,10497.872646919805,1738,bullish,48.87606313479239,4465.26651309591,4457.564063129402,4449.502430385735,7.09123655724355,0.3826787512588117,1.5597101919756822,5.393000000000029,0.88799999999992,1.069999999999709,2.0
2026-01-09 11:45:00,2026-01-09 12:30:00,long,4475.43,4461.447463737031,4461.447463737031,4503.395072525938,0.75,-104.86902197226755,-1.0486902197226755,stop_loss,10393.003624947538,1779,bullish,58.75682658890834,4471.18304942881,4467.875505215975,4456.295976426867,5.047072525936327,0.04984894259818731,1.0366684694429422,4.788000000000466,0.7820000000001528,2.0270000000000437,2.0
2026-01-12 21:45:00,2026-01-12 23:00:00,long,4596.711,4585.826374459907,4585.826374459907,4618.4802510801865,0.95,-103.40394263088456,-1.0340394263088457,stop_loss,10289.599682316653,1911,bullish,44.2277724448893,4602.418724503085,4598.740514415356,4544.33047915045,7.967251080186261,0.5448136958710977,0.5833843954248366,6.564000000000306,0.5839999999998327,0.9229999999997744,2.0
